"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SushiConfigLogicalModel.groups.description","SushiConfigLogicalModel.groups.description","","","",1,1,"","","","string {[]} {[]}
","Group Description","Description of the group","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.groups.description",1,1,"",""
"SushiConfigLogicalModel.groups.resources","SushiConfigLogicalModel.groups.resources","","","",0,*,"","","","string {[]} {[]}
","Group Resources","List of resources in this group","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.groups.resources",0,*,"",""
"SushiConfigLogicalModel.global","SushiConfigLogicalModel.global","","","",0,*,"","","","BackboneElement {[]} {[]}
","Global Profiles","Global profile assignments","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.global",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.global.id","SushiConfigLogicalModel.global.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.global.extension","SushiConfigLogicalModel.global.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.global.modifierExtension","SushiConfigLogicalModel.global.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.global.type","SushiConfigLogicalModel.global.type","","","",1,1,"","","","string {[]} {[]}
","Resource Type","FHIR resource type","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.global.type",1,1,"",""
"SushiConfigLogicalModel.global.profile","SushiConfigLogicalModel.global.profile","","","",1,1,"","","","canonical {[]} {[]}
","Profile URL","URL of the profile to apply globally","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.global.profile",1,1,"",""
"SushiConfigLogicalModel.meta","SushiConfigLogicalModel.meta","","","",0,1,"","","","BackboneElement {[]} {[]}
","IG Metadata","Additional metadata for the IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.meta.id","SushiConfigLogicalModel.meta.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.meta.extension","SushiConfigLogicalModel.meta.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.meta.modifierExtension","SushiConfigLogicalModel.meta.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.meta.profile","SushiConfigLogicalModel.meta.profile","","","",0,*,"","","","canonical {[]} {[]}
","Meta Profiles","Profiles this IG conforms to","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.meta.profile",0,*,"",""
"SushiConfigLogicalModel.contact","SushiConfigLogicalModel.contact","","","",0,*,"","","","ContactDetail {[]} {[]}
","Contact Information","Contact details for this IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.contact",0,*,"",""
"SushiConfigLogicalModel.useContext","SushiConfigLogicalModel.useContext","","","",0,*,"","","","UsageContext {[]} {[]}
","Use Context","Context where this IG is intended to be used","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.useContext",0,*,"",""
"SushiConfigLogicalModel.jurisdiction","SushiConfigLogicalModel.jurisdiction","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Jurisdiction","Jurisdictions where this IG applies","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.jurisdiction",0,*,"",""
"SushiConfigLogicalModel.FSHOnly","SushiConfigLogicalModel.FSHOnly","","","",0,1,"","","","boolean {[]} {[]}
","FSH Only","Whether to export only FSH resources without IG content","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.FSHOnly",0,1,"",""
"SushiConfigLogicalModel.applyExtensionMetadataToRoot","SushiConfigLogicalModel.applyExtensionMetadataToRoot","","","",0,1,"","","","boolean {[]} {[]}
","Apply Extension Metadata","Whether to apply extension metadata to root elements","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.applyExtensionMetadataToRoot",0,1,"",""
"SushiConfigLogicalModel.instanceOptions","SushiConfigLogicalModel.instanceOptions","","","",0,1,"","","","BackboneElement {[]} {[]}
","Instance Options","Configuration for instance processing","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.instanceOptions",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.instanceOptions.id","SushiConfigLogicalModel.instanceOptions.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.instanceOptions.extension","SushiConfigLogicalModel.instanceOptions.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.instanceOptions.modifierExtension","SushiConfigLogicalModel.instanceOptions.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.instanceOptions.setMetaProfile","SushiConfigLogicalModel.instanceOptions.setMetaProfile","","","",0,1,"","","","code {[]} {[]}
","Set Meta Profile","When to automatically set meta.profile","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.instanceOptions.setMetaProfile",0,1,"",""
"SushiConfigLogicalModel.instanceOptions.setId","SushiConfigLogicalModel.instanceOptions.setId","","","",0,1,"","","","code {[]} {[]}
","Set ID","When to automatically set id","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.instanceOptions.setId",0,1,"",""
